,item_id,title,season,gender,brand,product,tag,price,likes,date
107,1853357,3/31 배송 플리츠 디테일 원피스_스카이블루PLEATS DETAIL ONEPIECE_SKY BLUE,2021S/S,여,VEM.VER,VV21SPOP03BL,[],168000,0,2021-03-24
108,1853347,테일러드 플레어 원피스_옐로우TAILORED FLARE ONEPIECE_YELLOW,2021S/S,여,VEM.VER,VV21SPOP01YL,[],158000,0,2021-03-24
109,1845531,NEWSPAPER PRINTED MINI DRESS [WHITE],2021S/S,여,BADEE,BD21S301WH,[],59000,0,2021-03-24
110,1853367,헨리넥 스트링 원피스_블루HENRY NECK STRING ONEPIEC_BLUE,2021S/S,여,VEM.VER,VV21SPOP04BL,[],158000,0,2021-03-24
111,1853349,테일러드 플레어 원피스_블루TAILORED FLARE ONEPIECE_BLUE,2021S/S,여,VEM.VER,VV21SPOP01BL,[],158000,0,2021-03-24
112,1853373,헨리넥 스트링 원피스_크림HENRY NECK STRING ONEPIEC_CREAM,2021S/S,여,VEM.VER,VV21SPOP04IV,[],158000,0,2021-03-24
113,1845526,NEWSPAPER PRINTED MINI DRESS [BLACK],2021S/S,여,BADEE,BD21S301BK,[],59000,0,2021-03-24
114,1844408,button denim mini onepiece (mint),2021S/S,여,LE,991289,"['캐주얼원피스', '추천원피스', '미니드레스', '데일리룩', '여자원피스', '여성원피스', '원피스']",174000,0,2021-03-24
115,1844415,button denim mini onepiece (beige),2021S/S,여,LE,991293,"['여성원피스', '미니드레스', '미니원피스', '봄원피스', '데일리룩', '여자원피스', '캐주얼원피스']",174000,0,2021-03-24
116,1841603,코튼 오버사이즈핏 뱃지 티 원피스 (T32B1WOP62TWT1LT3)TOMMY JEANS,2021S/S,여,TOMMY,/,"['JEANS', '코튼', '오버사이즈핏', '뱃지', '티', '원피스', 'T32B1WOP62TWT1']",115000,0,2021-03-24
117,1841600,코튼 오버사이즈핏 뱃지 티 원피스 (T32B1WOP62TWT1YBR)TOMMY JEANS,2021S/S,여,TOMMY,/,"['JEANS', '코튼', '오버사이즈핏', '뱃지', '티', '원피스', 'T32B1WOP62TWT1']",115000,0,2021-03-24
118,1841606,코튼 오버사이즈핏 뱃지 티 원피스 (T32B1WOP62TWT1BDS)TOMMY JEANS,2021S/S,여,TOMMY,/,"['JEANS', '코튼', '오버사이즈핏', '뱃지', '티', '원피스', 'T32B1WOP62TWT1']",115000,0,2021-03-24
119,1836544,코튼 로고 디노 저지 원피스 (PW2B3TOP019WBK),2021S/S,여,SJYP,PW2B3TOP019WBK,"['코튼로고디노저지원피스', 'PW2B3TOP019W', 'PW2B3TOP019WBK']",239000,0,2021-03-24
120,1840706,ZERO OFF SHOULDER ONEPIECE / NAVY,2021S/S,여,ZEROSTREET,ZIMFOO0030NV00F,"['원피스', '여성원피스', '추천원피스', '미니원피스', '캐주얼원피스', '맨투맨원피스']",79000,0,2021-03-24
121,1842315,벨티드 워크웨어 데님 원피스 (T32B0WOP30TWT21BK)TOMMY JEANS,2021S/S,여,TOMMY,/,"['벨티드워크웨어데님원피스', 'T32B0WOP30TWT21BK']",195000,0,2021-03-24
122,1832330,Rose Print Balloon Dress Gray/Mauve,2021S/S,여,SCULPTOR,SC21S304GY,[],82000,0,2021-03-24
123,1832331,Rose Print Balloon Dress Black/Brown,2021S/S,여,SCULPTOR,SC21S304BK,[],82000,0,2021-03-24
